Memory,Precision,Recall,F1_Score,
10,0.695652,0.592593,0.64,
10,0.703704,0.703704,0.703704,
10,0.678571,0.703704,0.690909,
20,0.714286,0.555556,0.625,
20,0.6,0.777778,0.677419,
20,0.678571,0.703704,0.690909,
30,0.709677,0.814815,0.758621,
30,0.75,0.777778,0.763636,
30,0.818182,0.666667,0.734694,
40,0.645161,0.740741,0.689655,
40,0.709677,0.814815,0.758621,
40,0.814815,0.814815,0.814815,
50,0.740741,0.740741,0.740741,
50,0.785714,0.814815,0.8,
50,0.714286,0.740741,0.727273,
60,0.666667,0.666667,0.666667,
60,0.733333,0.814815,0.77193,
60,1,0.740741,0.851064,
70,0.7,0.777778,0.736842,
70,0.75,0.888889,0.813559,
70,0.733333,0.814815,0.77193,
80,0.724138,0.777778,0.75,
80,0.730769,0.703704,0.716981,
80,0.740741,0.740741,0.740741,
90,0.62963,0.62963,0.62963,
90,0.724138,0.777778,0.75,
90,0.774194,0.888889,0.827586,
100,0.666667,0.666667,0.666667,
100,0.777778,0.777778,0.777778,
100,0.628571,0.814815,0.709677,
200,0.666667,0.814815,0.733333,
200,0.742857,0.962963,0.83871,
200,0.69697,0.851852,0.766667,
300,0.742857,0.962963,0.83871,
300,0.666667,0.740741,0.701754,
300,0.862069,0.925926,0.892857,
400,1,0.62963,0.772727,
400,0.727273,0.888889,0.8,
400,0.689655,0.740741,0.714286,
500,0.774194,0.888889,0.827586,
500,0.733333,0.814815,0.77193,
500,0.69697,0.851852,0.766667,
600,0.7,0.777778,0.736842,
600,0.75,0.666667,0.705882,
600,0.657143,0.851852,0.741935,
700,0.757576,0.925926,0.833333,
700,0.710526,1,0.830769,
700,0.766667,0.851852,0.807018,
800,0.956522,0.814815,0.88,
800,0.807692,0.777778,0.792453,
800,0.709677,0.814815,0.758621,
900,0.774194,0.888889,0.827586,
900,0.705882,0.888889,0.786885,
900,0.709677,0.814815,0.758621,
1000,0.71875,0.851852,0.779661,
1000,0.666667,0.814815,0.733333,
1000,0.75,0.777778,0.763636,
