Memory,Depth,Precision,Recall,F1_Score,
10,1,0.0168831,0.962963,0.0331844,
10,1,0.0133129,0.962963,0.0262626,
10,1,0.0165125,0.925926,0.0324465,
20,1,0.0315375,0.888889,0.0609137,
20,1,0.0396825,0.925926,0.0761035,
20,1,0.0331633,0.962963,0.0641184,
30,1,0.0436187,1,0.0835913,
30,1,0.042735,0.925926,0.0816993,
30,1,0.0461255,0.925926,0.0878735,
40,1,0.0757576,0.925926,0.140056,
40,1,0.0657534,0.888889,0.122449,
40,1,0.0590909,0.962963,0.111349,
50,1,0.0881356,0.962963,0.161491,
50,1,0.0705882,0.888889,0.13079,
50,1,0.0666667,0.962963,0.1247,
60,1,0.0884354,0.962963,0.161994,
60,1,0.0776398,0.925926,0.143266,
60,1,0.0796178,0.925926,0.146628,
70,1,0.0739726,1,0.137755,
70,1,0.105932,0.925926,0.190114,
70,1,0.0912548,0.888889,0.165517,
80,1,0.107143,1,0.193548,
80,1,0.0833333,0.851852,0.151815,
80,1,0.115741,0.925926,0.205761,
90,1,0.133663,1,0.235808,
90,1,0.112108,0.925926,0.2,
90,1,0.123762,0.925926,0.218341,
100,1,0.125,0.962963,0.221277,
100,1,0.125654,0.888889,0.220183,
100,1,0.137931,0.888889,0.238806,
200,1,0.25,0.962963,0.396947,
200,1,0.170068,0.925926,0.287356,
200,1,0.203125,0.962963,0.335484,
300,1,0.313253,0.962963,0.472727,
300,1,0.328947,0.925926,0.485437,
300,1,0.278351,1,0.435484,
400,1,0.317073,0.962963,0.477064,
400,1,0.267327,1,0.421875,
400,1,0.329114,0.962963,0.490566,
500,1,0.290323,1,0.45,
500,1,0.333333,1,0.5,
500,1,0.361111,0.962963,0.525253,
600,1,0.304878,0.925926,0.458716,
600,1,0.38806,0.962963,0.553191,
600,1,0.329268,1,0.495413,
700,1,0.303797,0.888889,0.45283,
700,1,0.391304,1,0.5625,
700,1,0.364865,1,0.534653,
800,1,0.36,1,0.529412,
800,1,0.438596,0.925926,0.595238,
800,1,0.412698,0.962963,0.577778,
900,1,0.421875,1,0.593407,
900,1,0.488889,0.814815,0.611111,
900,1,0.55814,0.888889,0.685714,
1000,1,0.577778,0.962963,0.722222,
1000,1,0.371429,0.962963,0.536082,
1000,1,0.45,1,0.62069,
