Memory,Precision,Recall,F1_Score,
10,0.928105,0.52302,0.669022,
10,0.949458,0.484346,0.641463,
10,0.946809,0.491713,0.647273,
20,0.946269,0.583794,0.722096,
20,0.930091,0.563536,0.701835,
20,0.945245,0.604052,0.737079,
30,0.941667,0.624309,0.750831,
30,0.952381,0.626151,0.755556,
30,0.924675,0.655617,0.767241,
40,0.922481,0.657459,0.767742,
40,0.935065,0.662983,0.775862,
40,0.92876,0.64825,0.763557,
50,0.938272,0.699816,0.801688,
50,0.94832,0.675875,0.789247,
50,0.939086,0.6814,0.789755,
60,0.933649,0.725599,0.81658,
60,0.931373,0.699816,0.799159,
60,0.927184,0.703499,0.8,
70,0.926097,0.73849,0.821721,
70,0.941725,0.744015,0.831276,
70,0.94431,0.718232,0.8159,
80,0.927765,0.756906,0.833671,
80,0.925754,0.734807,0.819302,
80,0.920814,0.74954,0.826396,
90,0.922747,0.791897,0.852329,
90,0.93228,0.760589,0.837728,
90,0.933476,0.801105,0.86224,
100,0.926829,0.769797,0.841046,
100,0.932886,0.767956,0.842424,
100,0.923414,0.777164,0.844,
200,0.92955,0.87477,0.901328,
200,0.930279,0.860037,0.89378,
200,0.913215,0.85267,0.881905,
300,0.923225,0.88582,0.904135,
300,0.927593,0.872928,0.899431,
300,0.919847,0.887661,0.903468,
400,0.914972,0.911602,0.913284,
400,0.918605,0.872928,0.895184,
400,0.915285,0.915285,0.915285,
500,0.911392,0.928177,0.919708,
500,0.931689,0.904236,0.917757,
500,0.920455,0.895028,0.907563,
600,0.919118,0.92081,0.919963,
600,0.920223,0.913444,0.916821,
600,0.911439,0.909761,0.910599,
700,0.922509,0.92081,0.921659,
700,0.920074,0.911602,0.915819,
700,0.924953,0.907919,0.916357,
800,0.926063,0.922652,0.924354,
800,0.906977,0.933702,0.920145,
800,0.909926,0.911602,0.910764,
900,0.919118,0.92081,0.919963,
900,0.903052,0.926335,0.914545,
900,0.927778,0.922652,0.925208,
1000,0.922801,0.946593,0.934545,
1000,0.919626,0.906077,0.912801,
1000,0.921389,0.928177,0.924771,
2000,0.921245,0.926335,0.923783,
2000,0.929091,0.941068,0.935041,
2000,0.923913,0.939227,0.931507,
3000,0.902482,0.937385,0.919603,
3000,0.919786,0.950276,0.934783,
3000,0.902998,0.94291,0.922523,
4000,0.917266,0.939227,0.928116,
4000,0.897887,0.939227,0.918092,
4000,0.921569,0.952118,0.936594,
5000,0.906526,0.946593,0.926126,
5000,0.912892,0.965009,0.938227,
5000,0.912127,0.955801,0.933453,
6000,0.915493,0.957643,0.936094,
6000,0.926655,0.953959,0.940109,
6000,0.914439,0.944751,0.929348,
7000,0.910714,0.939227,0.924751,
7000,0.909091,0.939227,0.923913,
7000,0.921676,0.93186,0.92674,
8000,0.923913,0.939227,0.931507,
8000,0.905861,0.939227,0.922242,
8000,0.914132,0.941068,0.927405,
9000,0.920434,0.937385,0.928832,
9000,0.905263,0.950276,0.927224,
9000,0.900685,0.968692,0.933452,
10000,0.904676,0.926335,0.915378,
10000,0.918584,0.955801,0.936823,
10000,0.92446,0.946593,0.935396,
