Memory,Precision,Recall,F1_Score,
10,1,0.0531588,0.987109,0.100885,
10,1,0.0527091,0.98895,0.100084,
10,1,0.0536089,0.98895,0.101705,
20,1,0.102879,0.987109,0.186338,
20,1,0.104617,0.972376,0.188909,
20,1,0.101872,0.972376,0.184422,
30,1,0.149773,0.974217,0.259632,
30,1,0.149901,0.979742,0.26002,
30,1,0.145148,0.983425,0.252961,
40,1,0.184874,0.972376,0.31068,
40,1,0.179191,0.970534,0.302526,
40,1,0.181818,0.987109,0.307075,
50,1,0.207087,0.968692,0.341226,
50,1,0.213995,0.968692,0.35055,
50,1,0.208611,0.981584,0.344093,
60,1,0.252487,0.981584,0.401658,
60,1,0.244617,0.983425,0.391783,
60,1,0.237987,0.966851,0.381957,
70,1,0.275154,0.987109,0.430349,
70,1,0.270106,0.983425,0.42381,
70,1,0.270876,0.979742,0.424412,
80,1,0.304651,0.965009,0.463102,
80,1,0.287514,0.966851,0.443225,
80,1,0.287022,0.981584,0.444167,
90,1,0.31432,0.974217,0.475292,
90,1,0.320442,0.961326,0.480663,
90,1,0.317296,0.959484,0.476888,
100,1,0.352667,0.974217,0.517866,
100,1,0.341495,0.976059,0.505967,
100,1,0.342243,0.966851,0.505537,
200,1,0.475763,0.976059,0.63971,
200,1,0.5,0.977901,0.661682,
200,1,0.484047,0.977901,0.647561,
300,1,0.572347,0.983425,0.723577,
300,1,0.546891,0.955801,0.69571,
300,1,0.579348,0.981584,0.72864,
400,1,0.609302,0.965009,0.746971,
400,1,0.610723,0.965009,0.748037,
400,1,0.612269,0.974217,0.751955,
500,1,0.638889,0.974217,0.771699,
500,1,0.654747,0.977901,0.784343,
500,1,0.658354,0.972376,0.78513,
600,1,0.657143,0.974217,0.784866,
600,1,0.667519,0.961326,0.787925,
600,1,0.66962,0.974217,0.793698,
700,1,0.715061,0.970534,0.823438,
700,1,0.676963,0.968692,0.79697,
700,1,0.669211,0.968692,0.791573,
800,1,0.69697,0.974217,0.812596,
800,1,0.706757,0.963168,0.815277,
800,1,0.695138,0.974217,0.81135,
900,1,0.720708,0.974217,0.828504,
900,1,0.701058,0.976059,0.816012,
900,1,0.72,0.961326,0.823344,
1000,1,0.72077,0.965009,0.825197,
1000,1,0.713324,0.976059,0.824261,
1000,1,0.727273,0.957643,0.826709,
2000,1,0.786466,0.963168,0.865894,
2000,1,0.787106,0.966851,0.867769,
2000,1,0.772595,0.976059,0.86249,
3000,1,0.768668,0.966851,0.856444,
3000,1,0.778761,0.972376,0.864865,
3000,1,0.766617,0.955801,0.85082,
4000,1,0.778917,0.979742,0.867863,
4000,1,0.770468,0.970534,0.859006,
4000,1,0.772134,0.979742,0.863636,
5000,1,0.78852,0.961326,0.86639,
5000,1,0.779087,0.974217,0.865794,
5000,1,0.76087,0.966851,0.851582,
6000,1,0.769006,0.968692,0.857376,
6000,1,0.761836,0.977901,0.856452,
6000,1,0.77566,0.974217,0.863673,
7000,1,0.780059,0.979742,0.868571,
7000,1,0.800604,0.976059,0.879668,
7000,1,0.773392,0.974217,0.862266,
8000,1,0.807284,0.979742,0.885191,
8000,1,0.738889,0.979742,0.842439,
8000,1,0.790105,0.970534,0.871074,
9000,1,0.788288,0.966851,0.868486,
9000,1,0.780741,0.970534,0.865353,
9000,1,0.779789,0.952118,0.85738,
10000,1,0.782673,0.981584,0.870915,
10000,1,0.766234,0.977901,0.859223,
10000,1,0.77551,0.979742,0.865745,
