Memory,Depth,Precision,Recall,F1_Score,
10,3,0.121708,0.987109,0.216697,
10,3,0.126804,0.987109,0.224738,
10,3,0.136538,0.983425,0.239784,
20,3,0.531828,0.953959,0.682927,
20,3,0.532861,0.970534,0.68799,
20,3,0.539568,0.966851,0.692612,
30,3,0.751429,0.968692,0.84634,
30,3,0.728169,0.952118,0.825219,
30,3,0.736767,0.948435,0.829308,
40,3,0.845902,0.950276,0.895056,
40,3,0.856905,0.948435,0.90035,
40,3,0.840065,0.957643,0.895009,
50,3,0.905188,0.93186,0.91833,
50,3,0.880342,0.948435,0.913121,
50,3,0.888316,0.952118,0.919111,
60,3,0.896014,0.952118,0.923214,
60,3,0.896194,0.953959,0.924175,
60,3,0.899827,0.959484,0.928699,
70,3,0.898936,0.933702,0.915989,
70,3,0.925455,0.937385,0.931382,
70,3,0.921147,0.946593,0.933697,
80,3,0.920213,0.955801,0.937669,
80,3,0.936364,0.948435,0.94236,
80,3,0.913201,0.930018,0.921533,
90,3,0.93053,0.937385,0.933945,
90,3,0.918478,0.933702,0.926027,
90,3,0.915009,0.93186,0.923358,
100,3,0.93578,0.939227,0.9375,
100,3,0.93097,0.918969,0.92493,
100,3,0.937729,0.94291,0.940312,
200,3,0.95514,0.941068,0.948052,
200,3,0.955056,0.939227,0.947075,
200,3,0.924494,0.924494,0.924494,
300,3,0.934211,0.915285,0.924651,
300,3,0.950476,0.918969,0.934457,
300,3,0.941948,0.926335,0.934076,
400,3,0.950943,0.928177,0.939422,
400,3,0.94707,0.922652,0.934701,
400,3,0.939114,0.937385,0.938249,
500,3,0.942593,0.937385,0.939982,
500,3,0.954631,0.930018,0.942164,
500,3,0.952381,0.92081,0.93633,
600,3,0.94896,0.924494,0.936567,
600,3,0.95057,0.92081,0.935454,
600,3,0.94707,0.922652,0.934701,
700,3,0.943925,0.930018,0.93692,
700,3,0.954717,0.93186,0.94315,
700,3,0.960377,0.937385,0.948742,
800,3,0.931481,0.926335,0.928901,
800,3,0.954459,0.926335,0.940187,
800,3,0.957249,0.948435,0.952821,
900,3,0.94382,0.928177,0.935933,
900,3,0.93945,0.94291,0.941176,
900,3,0.948767,0.92081,0.934579,
1000,3,0.945386,0.924494,0.934823,
1000,3,0.949057,0.926335,0.937558,
1000,3,0.954459,0.926335,0.940187,
2000,3,0.947761,0.935543,0.941613,
2000,3,0.94162,0.92081,0.931099,
2000,3,0.960302,0.935543,0.947761,
3000,3,0.953618,0.946593,0.950092,
3000,3,0.96374,0.930018,0.946579,
3000,3,0.949627,0.937385,0.943466,
4000,3,0.94707,0.922652,0.934701,
4000,3,0.94403,0.93186,0.937905,
4000,3,0.942804,0.941068,0.941935,
5000,3,0.959615,0.918969,0.938852,
5000,3,0.954802,0.933702,0.944134,
5000,3,0.956107,0.922652,0.939082,
6000,3,0.948864,0.922652,0.935574,
6000,3,0.959924,0.926335,0.94283,
6000,3,0.950758,0.924494,0.937442,
7000,3,0.961905,0.930018,0.945693,
7000,3,0.957935,0.922652,0.939962,
7000,3,0.96374,0.930018,0.946579,
8000,3,0.954373,0.924494,0.939196,
8000,3,0.963107,0.913444,0.937618,
8000,3,0.953532,0.944751,0.949121,
9000,3,0.956107,0.922652,0.939082,
9000,3,0.958175,0.928177,0.942937,
9000,3,0.945076,0.918969,0.931839,
10000,3,0.94707,0.922652,0.934701,
10000,3,0.942639,0.907919,0.924953,
10000,3,0.958175,0.928177,0.942937,
