Memory,Precision,Recall,F1_Score,
10,0.435272,1,0.606536,
10,0.46493,1,0.634747,
10,0.447876,1,0.618667,
20,0.87218,1,0.931727,
20,0.84058,1,0.913386,
20,0.852941,1,0.920635,
30,0.913386,1,0.954733,
30,0.962656,1,0.980973,
30,0.939271,1,0.968685,
40,0.978903,1,0.989339,
40,0.962656,1,0.980973,
40,0.970711,1,0.985138,
50,0.978903,1,0.989339,
50,0.983051,1,0.991453,
50,0.995708,1,0.997849,
60,0.978903,1,0.989339,
60,0.978903,1,0.989339,
60,0.978903,1,0.989339,
70,0.995708,1,0.997849,
70,0.991453,1,0.995708,
70,0.991453,1,0.995708,
80,0.987234,1,0.993576,
80,1,1,1,
80,1,1,1,
90,0.995708,1,0.997849,
90,1,1,1,
90,0.995708,1,0.997849,
100,1,1,1,
100,0.995708,1,0.997849,
100,1,1,1,
200,1,1,1,
200,1,1,1,
200,1,1,1,
300,1,1,1,
300,0.995708,1,0.997849,
300,1,1,1,
400,0.995708,1,0.997849,
400,1,1,1,
400,0.995708,1,0.997849,
500,1,1,1,
500,1,1,1,
500,0.995708,1,0.997849,
600,1,1,1,
600,1,1,1,
600,1,1,1,
700,1,1,1,
700,0.995708,1,0.997849,
700,1,1,1,
800,1,1,1,
800,0.995708,1,0.997849,
800,1,1,1,
900,1,1,1,
900,1,1,1,
900,1,1,1,
1000,1,1,1,
1000,1,1,1,
1000,1,1,1,
2000,1,1,1,
2000,1,1,1,
2000,1,1,1,
3000,0.995708,1,0.997849,
3000,1,1,1,
3000,1,1,1,
4000,1,1,1,
4000,1,1,1,
4000,1,1,1,
5000,1,1,1,
5000,1,1,1,
5000,0.995708,1,0.997849,
6000,1,1,1,
6000,1,1,1,
6000,1,1,1,
7000,1,1,1,
7000,1,1,1,
7000,1,1,1,
8000,1,1,1,
8000,0.995708,1,0.997849,
8000,1,1,1,
9000,0.995708,1,0.997849,
9000,1,1,1,
9000,1,1,1,
10000,1,1,1,
10000,1,1,1,
10000,1,1,1,
