Memory,Precision,Recall,F1_Score,
200,0.0558835,0.26151,0.0920882,
200,0.061232,0.305709,0.102028,
200,0.0608134,0.294659,0.100819,
300,0.16492,0.550645,0.25382,
300,0.168733,0.576427,0.261051,
300,0.170436,0.569061,0.262309,
400,0.233806,0.697974,0.350277,
400,0.243542,0.729282,0.365145,
400,0.215394,0.664825,0.325372,
500,0.328102,0.808471,0.466773,
500,0.332087,0.81768,0.47234,
500,0.327994,0.791897,0.463862,
600,0.409131,0.858195,0.554102,
600,0.388175,0.834254,0.529825,
600,0.386643,0.810313,0.523498,
700,0.438959,0.900552,0.590223,
700,0.44949,0.893186,0.598027,
700,0.445883,0.887661,0.593596,
800,0.484762,0.937385,0.639046,
800,0.497099,0.946593,0.651871,
800,0.497575,0.944751,0.651842,
900,0.530228,0.985267,0.689433,
900,0.539078,0.990792,0.698248,
900,0.541625,0.994475,0.701299,
1000,0.585049,0.994475,0.736698,
1000,0.576759,0.996317,0.730587,
1000,0.588043,0.996317,0.739576,
2000,0.866029,1,0.928205,
2000,0.86465,1,0.927412,
2000,0.851969,0.996317,0.918506,
3000,0.939236,0.996317,0.966935,
3000,0.942708,1,0.970509,
3000,0.936097,0.998158,0.966132,
4000,0.959292,0.998158,0.978339,
4000,0.957672,1,0.978378,
4000,0.954225,0.998158,0.975698,
5000,0.985481,1,0.992687,
5000,0.985481,1,0.992687,
5000,0.985481,1,0.992687,
6000,0.981917,1,0.990876,
6000,0.985481,1,0.992687,
6000,0.987273,1,0.993596,
7000,0.981917,1,0.990876,
7000,0.989071,1,0.994505,
7000,0.983696,1,0.991781,
8000,0.994505,1,0.997245,
8000,0.996324,0.998158,0.99724,
8000,0.994505,1,0.997245,
9000,0.989071,1,0.994505,
9000,0.994505,1,0.997245,
9000,0.985481,1,0.992687,
10000,0.99633,1,0.998162,
10000,0.99633,1,0.998162,
10000,0.992687,1,0.99633,
