Memory,Probability,Precision,Recall,F1_Score,
0.02,1,0.0708596,1,0.132342,
0.02,0.5,0.0736712,1,0.137232,
0.02,0.25,0.0732187,1,0.136447,
0.02,0.125,0.0727806,1,0.135686,
0.04,1,0.414177,1,0.585749,
0.04,0.5,0.420607,1,0.592151,
0.04,0.25,0.397598,1,0.568974,
0.04,0.125,0.413769,0.998322,0.585054,
0.06,1,0.689017,1,0.81588,
0.06,0.5,0.685057,1,0.813097,
0.06,0.25,0.706302,0.996644,0.826722,
0.06,0.125,0.681243,0.993289,0.808191,
0.08,1,0.846591,1,0.916923,
0.08,0.5,0.82663,1,0.905087,
0.08,0.25,0.815934,0.996644,0.897281,
0.08,0.125,0.801351,0.994966,0.887725,
0.1,1,0.893553,1,0.943785,
0.1,0.5,0.901664,1,0.94829,
0.1,0.25,0.891892,0.996644,0.941363,
0.1,0.125,0.848355,0.994966,0.91583,
0.12,1,0.940063,1,0.969106,
0.12,0.5,0.921053,0.998322,0.958132,
0.12,0.25,0.912442,0.996644,0.952686,
0.12,0.125,0.924528,0.986577,0.954545,
0.14,1,0.947536,1,0.973061,
0.14,0.5,0.955128,1,0.977049,
0.14,0.25,0.939394,0.988255,0.963205,
0.14,0.125,0.933121,0.983221,0.957516,
0.16,1,0.905775,1,0.950558,
0.16,0.5,0.921053,0.998322,0.958132,
0.16,0.25,0.901366,0.996644,0.946614,
0.16,0.125,0.896657,0.989933,0.940989,
0.18,1,0.97545,1,0.987572,
0.18,0.5,0.961228,0.998322,0.979424,
0.18,0.25,0.94847,0.988255,0.967954,
0.18,0.125,0.952846,0.983221,0.967795,
0.2,1,0.967532,1,0.983498,
0.2,0.5,0.964052,0.989933,0.976821,
0.2,0.25,0.95315,0.989933,0.971193,
0.2,0.125,0.960656,0.983221,0.971808,
