Memory,Depth,ARE,
10000,3,0.712716,
10000,3,0.737417,
10000,3,0.663705,
5000,3,3.7891,
5000,3,3.44646,
5000,3,3.9463,
4000,3,7.28034,
4000,3,7.16606,
4000,3,7.24707,
3000,3,14.9405,
3000,3,15.6499,
3000,3,15.6017,
2000,3,47.758,
2000,3,46.463,
2000,3,47.1414,
1000,3,227.216,
1000,3,228.117,
1000,3,229.374,
900,3,269.697,
900,3,273.743,
900,3,270.46,
800,3,331.355,
800,3,332.237,
800,3,338.946,
700,3,414.943,
700,3,413.62,
700,3,413.193,
600,3,507.573,
600,3,503.047,
600,3,506.68,
500,3,621.996,
500,3,620.138,
500,3,617.722,
400,3,741.831,
400,3,737.52,
400,3,740.979,
300,3,841.385,
300,3,837.746,
300,3,838.896,
200,3,857.056,
200,3,895.606,
200,3,893.474,
100,3,858.137,
100,3,900.57,
100,3,898.563,
